Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,2006-01-01,2006-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,US$,73.935800,E
IDN,2007-01-01,2007-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,US$,82.424800,E
IDN,2008-01-01,2008-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,US$,91.782300,E
IDN,2009-01-01,2009-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,US$,92.768100,E
IDN,2010-01-01,2010-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,US$,114.784700,E
IDN,2011-01-01,2011-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,US$,127.855200,E
IDN,2012-01-01,2012-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,US$,123.946400,E
IDN,2013-01-01,2013-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,US$,116.737100,E
IDN,2014-01-01,2014-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,US$,108.526400,E
IDN,2015-01-01,2015-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,US$,100.000000,E
IDN,2016-01-01,2016-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,US$,103.063100,E
IDN,2017-01-01,2017-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,US$,106.904800,E
